,id_station_itinerance,month,energy
645,FRTSLP29532,5,260195.487
646,FRTSLP29532,6,290324.621
647,FRTSLP29532,7,323712.281
648,FRTSLP29532,8,305731.541
649,FRTSLP29532,9,290264.2688
650,FRTSLP29561,3,2972.421
651,FRTSLP29561,4,141011.81
652,FRTSLP29561,5,142222.283
653,FRTSLP29561,6,146454.565
654,FRTSLP29561,7,157076.513
655,FRTSLP29561,8,151692.443
656,FRTSLP29561,9,142129.6014
657,FRTSLP29562,3,1844.141
658,FRTSLP29562,4,97118.137
659,FRTSLP29562,5,111130.577
660,FRTSLP29562,6,141989.832
661,FRTSLP29562,7,108081.641
662,FRTSLP29562,8,177348.065
663,FRTSLP29562,9,202857.783
664,FRTSLP29575,3,800.136
665,FRTSLP29575,4,48057.749
666,FRTSLP29575,5,42779.082
667,FRTSLP29575,6,48338.87
668,FRTSLP29575,7,57837.687
669,FRTSLP29575,8,59947.016
670,FRTSLP29575,9,42318.218
671,FRTSLP29579,3,2698.421
672,FRTSLP29579,4,126440.152
673,FRTSLP29579,5,135321.035
674,FRTSLP29579,6,139972.559
675,FRTSLP29579,7,150056.64
676,FRTSLP29579,8,147000.993
677,FRTSLP29579,9,125620.2556
678,FRTSLP29581,3,235.902
679,FRTSLP29581,4,33839.863
680,FRTSLP29581,5,34831.116
681,FRTSLP29581,6,37718.983
682,FRTSLP29581,7,55267.701
683,FRTSLP29581,8,66018.302
684,FRTSLP29581,9,31605.2511
685,FRTSLP29592,8,153460.5973
686,FRTSLP29592,9,121479.8705
687,FRTSLP29624,3,1454.907
688,FRTSLP29624,4,71509.37
689,FRTSLP29624,5,68434.821
690,FRTSLP29624,6,43777.656
691,FRTSLP29624,7,101644.627
692,FRTSLP29624,8,140809.229
693,FRTSLP29624,9,59375.6121
694,FRTSLP29651,3,136.296
695,FRTSLP29651,4,18543.728
696,FRTSLP29651,5,23035.049
697,FRTSLP29651,6,34454.535
698,FRTSLP29651,7,62732.885
699,FRTSLP29651,8,67042.434
700,FRTSLP29651,9,31937.192
701,FRTSLP29658,3,262.697
702,FRTSLP29658,4,14863.279
703,FRTSLP29658,5,17173.639
704,FRTSLP29658,6,19403.329
705,FRTSLP29658,7,27984.624
706,FRTSLP29658,8,39653.044
707,FRTSLP29658,9,16357.8661
708,FRTSLP29713,3,881.637
709,FRTSLP29713,4,66268.235
710,FRTSLP29713,5,71331.754
711,FRTSLP29713,6,95069.76
712,FRTSLP29713,7,136735.164
713,FRTSLP29713,8,130535.368
714,FRTSLP29713,9,76576.9046
715,FRTSLP29751,7,194252.08
716,FRTSLP29751,8,336567.473
717,FRTSLP29751,9,166932.1733
718,FRTSLP29758,3,2299.727
719,FRTSLP29758,4,127750.144
720,FRTSLP29758,5,127059.465
721,FRTSLP29758,6,139269.637
722,FRTSLP29758,7,164804.405
723,FRTSLP29758,8,181581.46
724,FRTSLP29758,9,140093.1773
725,FRTSLP29767,3,927.076
726,FRTSLP29767,4,79798.035
727,FRTSLP29767,5,80271.593
728,FRTSLP29767,6,74981.322
729,FRTSLP29767,7,112915.939
730,FRTSLP29767,8,106317.521
731,FRTSLP29767,9,49544.6278
732,FRTSLP29777,3,784.335
733,FRTSLP29777,4,46950.456
734,FRTSLP29777,5,44990.126
735,FRTSLP29777,6,52576.412
736,FRTSLP29777,7,94750.38
737,FRTSLP29777,8,79049.508
738,FRTSLP29777,9,44621.0398
739,FRTSLP2986,3,1142.119
740,FRTSLP2986,4,67884.407
741,FRTSLP2986,5,51842.1159
742,FRTSLP2986,6,56915.1648
743,FRTSLP2986,7,77748.8874
744,FRTSLP2986,8,53259.6259
745,FRTSLP2986,9,17021.7063
746,FRTSLP2987,3,787.271
747,FRTSLP2987,4,70999.195
748,FRTSLP2987,5,56853.699
749,FRTSLP2987,6,57847.2827
750,FRTSLP2987,7,93046.61
751,FRTSLP2987,8,48162.4291
752,FRTSLP2987,9,19974.5729
753,FRTSLP29873,3,3136.678
754,FRTSLP29873,4,126564.576
755,FRTSLP29873,5,127414.958
756,FRTSLP29873,6,135427.357
757,FRTSLP29873,7,139868.928
758,FRTSLP29873,8,141177.39
759,FRTSLP29873,9,158652.8748
760,FRTSLP29903,3,2154.704
761,FRTSLP29903,4,141548.466
762,FRTSLP29903,5,138775.886
763,FRTSLP29903,6,147299.749
764,FRTSLP29903,7,216245.582
