Aire,NomUsuel,Nature,GVO,Surface,Réseau,Axe
RRN C,Aire de Tardenois Sud,S,SANEF,39881.91435,C,A4
RRN C,Tardenois Nord,S,SANEF,52404.60538,C,A4
RRN C,Vrigny,S,SANEF,37161.24636,C,A4
RRN C,Gueux,S,SANEF,33719.06132,C,A4
RRN C,Sandaucourt - La Trelle,S,APRR,143994.5944,C,A31
RRN C,LA BIGUE,S,ESCOTA,11185.84947,C,A57
RRN C,Aire de Morainvilliers Sud,S,SAPN,35424.55248,C,A13
RRN C,L'ESTALOT,S,ASF,43005.49032,C,A10
RRN C,Les Marceaux,R,AREA,6939.8919,C,A51N
RRN C,Les Jaillets,R,AREA,8243.57172,C,A51N
RRN C,Hardivillers,S,SANEF,54415.59555,C,A16
RRN C,Saint-Leger,S,SANEF,20557.18222,C,A1
RRN C,L'Allier (Saulzet),S,APRR,103479.6471,C,A71
RRN C,Vignacourt Ouest,R,SANEF,20547.64902,C,A16
RRN C,Vignacourt Est,R,SANEF,30996.98476,C,A16
RRN C,Montard,R,APRR,58937.89754,C,A5
RRN C,Val de Loing Barriere Est,P,APRR,5404.98235,C,A77
RRN C,Val de Loing Barriere Ouest,P,APRR,5019.81734,C,A77
RRN C,Vaucourtois,R,SANEF,19205.05103,C,A4
RRN C,Porte des Landes Est,S,ATLANDES,180824.684,C,A63
RRN C,Courcy Est,P,SANEF,3530.94548,C,A26
RRN C,Courcy Ouest,P,SANEF,3476.67842,C,A26
RRN C,Aire de St Michel de Maurienne,S,SFTRF,27422.52427,C,A43
RRN C,La Ferte St Aubin,S,COFIROUTE,25687.43643,C,A71
RRN C,Vallee d'Ecalles,R,ALBEA,28623.51799,C,A150
RRN C,La Chenardiere,R,COFIROUTE,23668.14911,C,A28
RRN C,POITOU-CHARENTES NORD,S,ASF,142135.5494,C,A10
RRN C,ROUILLE PAMPROUX NORD,S,ASF,149130.9533,C,A10
RRN C,ROUILLE PAMPROUX SUD,S,ASF,106570.7556,C,A10
RRN C,PARCE SUR SARTHE OUEST,S,ASF,113515.1451,C,A11
RRN C,PARCE SUR SARTHE EST,S,ASF,78358.10968,C,A11
RRN C,Aire de repos de Passy-Mont-Blanc S1 10VL 10 PL,R,ATMB,6559.31438,C,A40
RRN C,St Sauveur,R,AREA,31056.00756,C,A49
RRN C,Schwindratzheim Nord,P,SANEF,6043.15307,C,A4
RRN C,Quetteville Sud,P,SAPN,3091.23353,C,A29
RRN C,Cottevrard Nord,P,SAPN,3534.95134,C,A29
RRN C,Setques Sud,P,SANEF,7281.83661,C,A26
RRN C,ASF_A_464 - Vignes Nord,R,ASF,88440.30003,C,A89
RRN C,Burcin,R,AREA,12953.16046,C,A48
RRN C,ASF_A_464 - Vignes Sud,R,ASF,29718.33811,C,A89
RRN C,ASF_A_446 - Aire de Rosefond,R,ASF,92379.33568,C,A66
RRN C,La Bouterne,R,ASF,92055.91194,C,A7
RRN C,ASF_A_226 - Aire du Queyran Ouest,R,ASF,33911.58219,C,A62
RRN C,ASF_A_425 - Aire de Buzet sur Baïse Ouest,R,ASF,17535.65538,C,A62
RRN C,ASF_A_424 - Aire de Buzet sur Baïse Est,R,ASF,9471.40714,C,A62
RRN C,Aire de Bruch Nord,R,ASF,13384.69149,C,A62
RRN C,ASF_A_426 - Aire de Bruch Sud,R,ASF,13011.23723,C,A62
RRN C,ASF_A_428 - Aire d'Estillac,R,ASF,16964.79897,C,A62
RRN C,ASF_A_429 - Aire de Moirax,R,ASF,50867.09559,C,A62
RRN C,ASF_A_432 - Aire de Dunes Est,R,ASF,25920.34432,C,A62
RRN C,ASF_A_433 - Aire de Dunes Ouest,R,ASF,19761.11074,C,A62
