idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
3151,"[44.513004, 4.780931]","[0.438214, 0.898871]",AS,A7 - MONTELIMAR EST,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3152,"[44.51559, 4.78095]","[-0.613459, -0.789727]",AS,A7 - MONTELIMAR OUEST,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3160,"[44.71975135, 4.787223189]","[0.0216404, 0.9997659999999999]",AS,A7 - SAULCE,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3191,"[44.866535, 4.866833]","[0.0136131, 0.999907]",AS,A7 - PORTES LES VALENCE EST,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3192,"[44.867075, 4.864687]","[-0.0559958, -0.998431]",AS,A7 - PORTES LES VALENCE OUEST,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3207,"[45.019753, 4.876117]","[-0.0219894, 0.9997579999999999]",AS,A7 - LATITUDE 45,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3208,"[45.01812, 4.874187]","[0.0219894, -0.9997579999999999]",AS,A7 - PONT DE L'ISERE,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3233,"[45.405926, 4.816326]","[-0.424199, -0.905569]",AS,A7 - ROUSSILLON,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3239,"[45.276459, 4.827952]","[-0.38300599999999996, 0.923746]",AS,A7 - SAINT-RAMBERT D'ALBON EST,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3240,"[45.276505, 4.825401]","[0.21473499999999998, -0.976672]",AS,A7 - SAINT-RAMBERT D'ALBON OUEST,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3246,"[45.622003, 2.456961]","[-0.933205, -0.35934499999999997]",AS,A89 - CHAVANON,{'roadname': 'A89'},ASF,LYON-BORDEAUX,
3284,"[45.591068, 4.827004]","[0, 1]",AS,A46S - COMMUNAY NORD,{'roadname': 'A46S'},ASF,SAINT PRIEST(A43)-CHASSE(A7),
3285,"[45.585068, 4.827004]","[0, 1]",AS,A46S - COMMUNAY SUD,{'roadname': 'A46S'},ASF,CHASSE(A7)-SAINT PRIEST(A43),
3457,"[45.893911, -0.604259]","[0.642788, 0.766044]",AS,A10 - FENIOUX EST,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
3458,"[45.892554, -0.60312]","[-0.642788, -0.766044]",AS,A10 - FENIOUX OUEST,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
3467,"[46.296548, -0.378647]","[-0.786504, -0.6175849999999999]",AS,A10 - POITOU CHARENTES NORD,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
3468,"[46.297136, -0.369]","[0.786504, 0.6175849999999999]",AS,A10 - POITOU CHARENTES SUD,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
3579,"[45.957008, 2.989269]","[-0.748261, -0.663404]",AS,A89 - MANZAT,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
3602,"[45.850587, 3.40611]","[-0.9826779999999999, 0.185324]",AS,A89 - LIMAGNE,{'roadname': 'A89'},ASF,BORDEAUX-LYON,D
