,id_pdc_itinerance,point_de_charge_id
322,FRELCE6XB6,99f3e8f5-764d-450e-9267-2d3bf6ba28a0
323,FRELCE6Y9P,61d598a6-a83b-4b58-bb87-74323ccad57c
324,FRELCE6YMV,8e17e91b-5d31-4d68-8e52-631a1e707ecf
325,FRELCE6Z2W,3ba5546d-f476-465d-af0c-fd13a1f94f03
326,FRELCE6Z32,c994046e-16e4-467b-8201-4ce4a2de1b0a
327,FRELCE6Z89,b4ff8fb0-b256-4010-8015-92a08467f07a
328,FRELCE6ZGU,656553c1-7894-4e07-ae33-3bb3fd4dffc5
329,FRELCE72J3,b2152cd4-3935-4240-8e5f-4f83b77df3a4
330,FRELCE72KJ,1c5dfacd-3f77-4520-a055-6fdefd9d4ad5
331,FRELCE73J4,35074d77-d60a-4d50-b156-d12081bac144
332,FRELCE73Q7,ae4df113-a48b-4a93-a4a5-4ef8b43c1c30
333,FRELCE744S,4d341334-7ca5-495b-9891-1d912cd41609
334,FRELCE74FJ,fea53a93-bc48-4649-97d7-77daad71d36d
335,FRELCE74YA,5cc0e71f-f5e5-48ca-86fd-44de5407626c
336,FRELCE75HJ,72177420-dc6d-472a-b0cd-47cd90fbda26
337,FRELCE75TD,b3ff2b46-88ac-4a38-8350-062547324de1
338,FRELCE75W3,12ddece0-7cca-4724-97fd-817d4ca853b8
339,FRELCE76AD,d44be646-98e2-41e8-a4e9-80039badd89b
340,FRELCE76ZW,a7293e0b-afd8-444b-b1b2-f35e3704e6bd
341,FRELCE77K9,fb25d885-4961-43ec-ab5a-dd67c5fd832d
342,FRELCE77S4,64d23296-8ff7-47f5-83bc-ee3d95f26c75
343,FRELCE78GH,74b669b6-72a1-46a0-ba48-a3b99e03d69e
344,FRELCE79VQ,58e14f7b-d58d-4a81-9b6e-3b8a242b910d
345,FRELCE7AB7,c1299728-7de1-4a10-966c-1b7f3e15c7fb
346,FRELCE7AEZ,848b1421-9e86-416f-9107-96850e9ef15a
347,FRELCE7AZL,0fe155af-f69e-4d6e-85c6-8a5368d03950
348,FRELCE7BRB,61fb6dd8-7ec8-412b-80e5-d268621c6ab0
349,FRELCE7CK7,0a9bd785-d1b2-4102-ac1e-773a811bd0be
350,FRELCE7CNH,3a4f22c9-2ebc-4f11-9a0b-2724a5f121c4
351,FRELCE7DNP,3cd02302-b649-4786-b8a7-61d020740222
352,FRELCE7DRR,952a4e43-d120-478d-a997-e4ce0620168d
353,FRELCE7DZ5,6aefdd65-567d-4d09-960e-bdb108e03595
354,FRELCE7EBY,97898e9e-4d6c-42b0-bd50-ec1b792a7226
355,FRELCE7FET,9e2b7d5b-425f-4c4d-929e-12d8cad93f97
